0	x o ŋ͡m 1
đẵn	d ă n 3
đản	d a n 4
đạn	d a n 6
đận	d ɤ̆ n 6
đặn	d ă n 6
dang	z a ŋ 1
dáng	z a ŋ 5
dàng	z a ŋ 2
dâng	z ɤ̆ ŋ 1
dăng	z ă ŋ 1
dãng	z a ŋ 3
dắng	z ă ŋ 5
dằng	z ă ŋ 2
dẳng	z ă ŋ 4
dạng	z a ŋ 6
đang	d a ŋ 1
đáng	d a ŋ 5
đàng	d a ŋ 2
đăng	d ă ŋ 1
đãng	d a ŋ 3
đấng	d ɤ̆ ŋ 5
đắng	d ă ŋ 5
đằng	d ă ŋ 2
đẵng	d ă ŋ 3
đảng	d a ŋ 4
đẳng	d ă ŋ 4
đặng	d ă ŋ 6
